2020-12-13 16:41:50,845 [INFO ]  maqp(evaluate_cardinalities: database_name=imdb, target_path=./baselines/cardinality_estimation/results/deepDB/imdb_light_model_based_budget_5.csv)
2020-12-13 16:41:52,356 [DEBUG]  Including SPN with table_set {'movie_info_idx', 'movie_companies', 'title'} with sampling ratio(1000000 / 4073078)
2020-12-13 16:41:52,357 [DEBUG]  Including SPN with table_set {'movie_companies', 'movie_info', 'title'} with sampling ratio(1000000 / 67371414)
2020-12-13 16:41:52,358 [DEBUG]  Including SPN with table_set {'movie_info_idx', 'title'} with sampling ratio(3448422 / 1380035)
2020-12-13 16:41:52,358 [DEBUG]  Including SPN with table_set {'movie_companies', 'title'} with sampling ratio(4050205 / 2609129)
2020-12-13 16:41:52,358 [DEBUG]  Including SPN with table_set {'movie_info', 'title'} with sampling ratio(10000000 / 14835720)
2020-12-13 16:41:52,358 [DEBUG]  Including SPN with table_set {'cast_info'} with sampling ratio(10000000 / 36244344)
2020-12-13 16:41:52,358 [DEBUG]  Including SPN with table_set {'movie_keyword'} with sampling ratio(4523930 / 4523930)
2020-12-13 16:41:52,358 [DEBUG]  Predicting cardinality for query 0: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=112 AND mc.company_type_id=2;
2020-12-13 16:41:52,375 [DEBUG]  		Latency: 10.29ms
2020-12-13 16:41:52,376 [DEBUG]  		True: 715
2020-12-13 16:41:52,376 [DEBUG]  		Predicted: 1517.4675842289762
2020-12-13 16:41:52,376 [DEBUG]  Q-Error was: 2.122332285634932
2020-12-13 16:41:52,376 [DEBUG]  Predicting cardinality for query 1: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=113 AND mc.company_type_id=2 AND t.production_year>2005 AND t.production_year<2010;
2020-12-13 16:41:52,393 [DEBUG]  		Latency: 10.94ms
2020-12-13 16:41:52,393 [DEBUG]  		True: 9
2020-12-13 16:41:52,393 [DEBUG]  		Predicted: 4.322076590129576
2020-12-13 16:41:52,393 [DEBUG]  Q-Error was: 2.0823323724881466
2020-12-13 16:41:52,393 [DEBUG]  Predicting cardinality for query 2: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=112 AND mc.company_type_id=2 AND t.production_year>2010;
2020-12-13 16:41:52,409 [DEBUG]  		Latency: 10.50ms
2020-12-13 16:41:52,409 [DEBUG]  		True: 47
2020-12-13 16:41:52,409 [DEBUG]  		Predicted: 127.9462604543495
2020-12-13 16:41:52,409 [DEBUG]  Q-Error was: 2.7222608607308403
2020-12-13 16:41:52,409 [DEBUG]  Predicting cardinality for query 3: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=113 AND mc.company_type_id=2 AND t.production_year>2000;
2020-12-13 16:41:52,426 [DEBUG]  		Latency: 10.61ms
2020-12-13 16:41:52,426 [DEBUG]  		True: 16
2020-12-13 16:41:52,426 [DEBUG]  		Predicted: 11.585892999103601
2020-12-13 16:41:52,426 [DEBUG]  Q-Error was: 1.3809897951964443
2020-12-13 16:41:52,426 [DEBUG]  Predicting cardinality for query 4: SELECT COUNT(*) FROM movie_companies mc,title t,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mk.keyword_id=117;
2020-12-13 16:41:52,438 [DEBUG]  		Latency: 7.01ms
2020-12-13 16:41:52,438 [DEBUG]  		True: 148552
2020-12-13 16:41:52,438 [DEBUG]  		Predicted: 41067.13234135826
2020-12-13 16:41:52,438 [DEBUG]  Q-Error was: 3.6172966440706382
2020-12-13 16:41:52,438 [DEBUG]  Predicting cardinality for query 5: SELECT COUNT(*) FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.production_year>2005;
2020-12-13 16:41:52,447 [DEBUG]  		Latency: 4.26ms
2020-12-13 16:41:52,447 [DEBUG]  		True: 62682311
2020-12-13 16:41:52,447 [DEBUG]  		Predicted: 59992649.40957598
2020-12-13 16:41:52,448 [DEBUG]  Q-Error was: 1.044833185680156
2020-12-13 16:41:52,448 [DEBUG]  Predicting cardinality for query 6: SELECT COUNT(*) FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.production_year>2010;
2020-12-13 16:41:52,456 [DEBUG]  		Latency: 3.35ms
