2021-01-11 20:03:01,373 [INFO ]  maqp(evaluate_cardinalities: database_name=imdb, target_path=./baselines/cardinality_estimation/results/deepDB-ranges/imdb_ranges_model_based_budget_5.csv)
2021-01-11 20:03:01,399 [DEBUG]  Including SPN with table_set {'cast_info', 'title'} with sampling ratio(10000000 / 36244344)
2021-01-11 20:03:01,399 [DEBUG]  Predicting cardinality for query 0: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.production_year<2011 AND t.phonetic_code<11942 AND t.series_years<296 AND ci.role_id>2;
2021-01-11 20:03:01,407 [DEBUG]  		Latency: 1.58ms
2021-01-11 20:03:01,407 [DEBUG]  		True: 2727
2021-01-11 20:03:01,407 [DEBUG]  		Predicted: 3293.745776684689
2021-01-11 20:03:01,407 [DEBUG]  Q-Error was: 1.20782756754114
2021-01-11 20:03:01,407 [DEBUG]  Predicting cardinality for query 1: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code=20682 AND t.production_year>1993 AND t.series_years>644 AND ci.role_id=1;
2021-01-11 20:03:01,414 [DEBUG]  		Latency: 1.45ms
2021-01-11 20:03:01,414 [DEBUG]  		True: 4
2021-01-11 20:03:01,414 [DEBUG]  		Predicted: 20.876044171260805
2021-01-11 20:03:01,414 [DEBUG]  Q-Error was: 5.219011042815201
2021-01-11 20:03:01,414 [DEBUG]  Predicting cardinality for query 2: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code<11364 AND t.series_years<428 AND t.production_year=2009 AND ci.role_id<4;
2021-01-11 20:03:01,421 [DEBUG]  		Latency: 1.53ms
2021-01-11 20:03:01,421 [DEBUG]  		True: 29
2021-01-11 20:03:01,421 [DEBUG]  		Predicted: 476.92458187624925
2021-01-11 20:03:01,421 [DEBUG]  Q-Error was: 16.44567523711204
2021-01-11 20:03:01,421 [DEBUG]  Predicting cardinality for query 3: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code>850 AND t.production_year>2011 AND t.series_years>346 AND ci.role_id<2;
2021-01-11 20:03:01,428 [DEBUG]  		Latency: 1.45ms
2021-01-11 20:03:01,428 [DEBUG]  		True: 12036
2021-01-11 20:03:01,428 [DEBUG]  		Predicted: 22147.269987416083
2021-01-11 20:03:01,428 [DEBUG]  Q-Error was: 1.8400855755579995
2021-01-11 20:03:01,428 [DEBUG]  Predicting cardinality for query 4: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code>17321 AND t.production_year=1964 AND t.series_years<767 AND ci.role_id>2;
2021-01-11 20:03:01,435 [DEBUG]  		Latency: 1.48ms
2021-01-11 20:03:01,435 [DEBUG]  		True: 156
2021-01-11 20:03:01,435 [DEBUG]  		Predicted: 13.90517825111085
2021-01-11 20:03:01,435 [DEBUG]  Q-Error was: 11.218842159577317
2021-01-11 20:03:01,435 [DEBUG]  Predicting cardinality for query 5: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.series_years<474 AND t.production_year>1956 AND t.phonetic_code>14786 AND ci.role_id=2;
2021-01-11 20:03:01,442 [DEBUG]  		Latency: 1.49ms
2021-01-11 20:03:01,442 [DEBUG]  		True: 1010
2021-01-11 20:03:01,442 [DEBUG]  		Predicted: 1010.6090142127453
2021-01-11 20:03:01,442 [DEBUG]  Q-Error was: 1.0006029843690547
2021-01-11 20:03:01,442 [DEBUG]  Predicting cardinality for query 6: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code=10311 AND t.production_year<2008 AND t.series_years<988 AND ci.role_id>1;
2021-01-11 20:03:01,449 [DEBUG]  		Latency: 1.52ms
2021-01-11 20:03:01,449 [DEBUG]  		True: 34
2021-01-11 20:03:01,449 [DEBUG]  		Predicted: 10.10149614335113
2021-01-11 20:03:01,449 [DEBUG]  Q-Error was: 3.3658380419596576
2021-01-11 20:03:01,449 [DEBUG]  Predicting cardinality for query 7: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.production_year<2013 AND t.series_years<842 AND t.phonetic_code=348 AND ci.role_id>1;
2021-01-11 20:03:01,456 [DEBUG]  		Latency: 1.59ms
2021-01-11 20:03:01,456 [DEBUG]  		True: 5
