2020-12-09 22:20:07,334 [INFO ]  maqp(evaluate_cardinalities: database_name=None, target_path=./baselines/cardinality_estimation/results/deepDB/imdb_light_model_based_budget_5.csv)
2020-12-09 22:20:07,759 [DEBUG]  Including SPN with table_set {'movie_info', 'movie_companies', 'title'} with sampling ratio(1000000 / 67371414)
2020-12-09 22:20:07,760 [DEBUG]  Including SPN with table_set {'movie_companies', 'movie_info_idx', 'title'} with sampling ratio(1000000 / 4073078)
2020-12-09 22:20:07,774 [DEBUG]  Including SPN with table_set {'movie_companies', 'title'} with sampling ratio(4050205 / 2609129)
2020-12-09 22:20:07,774 [DEBUG]  Including SPN with table_set {'cast_info', 'title'} with sampling ratio(10000000 / 36244344)
2020-12-09 22:20:07,774 [DEBUG]  Including SPN with table_set {'movie_info', 'title'} with sampling ratio(10000000 / 14835720)
2020-12-09 22:20:07,775 [DEBUG]  Including SPN with table_set {'movie_keyword'} with sampling ratio(4523930 / 4523930)
2020-12-09 22:20:07,775 [DEBUG]  Including SPN with table_set {'movie_info_idx'} with sampling ratio(1380035 / 1380035)
2020-12-09 22:20:07,775 [DEBUG]  Predicting cardinality for query 0: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=112 AND mc.company_type_id=2;
2020-12-09 22:20:07,807 [DEBUG]  		Latency: 19.83ms
2020-12-09 22:20:07,808 [DEBUG]  		True: 715
2020-12-09 22:20:07,808 [DEBUG]  		Predicted: 1532.777274179234
2020-12-09 22:20:07,808 [DEBUG]  Q-Error was: 2.143744439411516
2020-12-09 22:20:07,808 [DEBUG]  Predicting cardinality for query 1: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=113 AND mc.company_type_id=2 AND t.production_year>2005 AND t.production_year<2010;
2020-12-09 22:20:07,838 [DEBUG]  		Latency: 19.03ms
2020-12-09 22:20:07,839 [DEBUG]  		True: 9
2020-12-09 22:20:07,839 [DEBUG]  		Predicted: 3.724107793828566
2020-12-09 22:20:07,839 [DEBUG]  Q-Error was: 2.41668622345315
2020-12-09 22:20:07,839 [DEBUG]  Predicting cardinality for query 2: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=112 AND mc.company_type_id=2 AND t.production_year>2010;
2020-12-09 22:20:07,864 [DEBUG]  		Latency: 16.36ms
2020-12-09 22:20:07,865 [DEBUG]  		True: 47
2020-12-09 22:20:07,865 [DEBUG]  		Predicted: 137.62498752169859
2020-12-09 22:20:07,865 [DEBUG]  Q-Error was: 2.9281912238659276
2020-12-09 22:20:07,865 [DEBUG]  Predicting cardinality for query 3: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=113 AND mc.company_type_id=2 AND t.production_year>2000;
2020-12-09 22:20:07,885 [DEBUG]  		Latency: 12.09ms
2020-12-09 22:20:07,885 [DEBUG]  		True: 16
2020-12-09 22:20:07,885 [DEBUG]  		Predicted: 10.21723544802766
