2020-11-15 17:24:35,021 [INFO ]  maqp(evaluate_cardinalities: database_name=None, target_path=./baselines/cardinality_estimation/results/deepDB/imdb_light_model_based_budget_5.csv)
2020-11-15 17:24:35,399 [DEBUG]  Including SPN with table_set {'title', 'movie_companies', 'movie_info_idx'} with sampling ratio(1000000 / 4073078)
2020-11-15 17:24:35,400 [DEBUG]  Including SPN with table_set {'title', 'movie_companies', 'movie_info'} with sampling ratio(1000000 / 67371414)
2020-11-15 17:24:35,400 [DEBUG]  Including SPN with table_set {'title', 'movie_info'} with sampling ratio(10000000 / 14835720)
2020-11-15 17:24:35,400 [DEBUG]  Including SPN with table_set {'title', 'movie_info_idx'} with sampling ratio(3448422 / 1380035)
2020-11-15 17:24:35,400 [DEBUG]  Including SPN with table_set {'title', 'movie_companies'} with sampling ratio(4050205 / 2609129)
2020-11-15 17:24:35,400 [DEBUG]  Including SPN with table_set {'movie_keyword'} with sampling ratio(4523930 / 4523930)
2020-11-15 17:24:35,400 [DEBUG]  Including SPN with table_set {'cast_info'} with sampling ratio(10000000 / 36244344)
2020-11-15 17:24:35,400 [DEBUG]  Predicting cardinality for query 0: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=112 AND mc.company_type_id=2;
2020-11-15 17:24:35,408 [INFO ]  Note: NumExpr detected 40 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
2020-11-15 17:24:35,408 [INFO ]  NumExpr defaulting to 8 threads.
2020-11-15 17:24:35,426 [DEBUG]  		Latency: 9.54ms
2020-11-15 17:24:35,426 [DEBUG]  		True: 715
2020-11-15 17:24:35,426 [DEBUG]  		Predicted: 1510.626819802195
2020-11-15 17:24:35,426 [DEBUG]  Q-Error was: 2.112764782940133
2020-11-15 17:24:35,426 [DEBUG]  Predicting cardinality for query 1: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=113 AND mc.company_type_id=2 AND t.production_year>2005 AND t.production_year<2010;
2020-11-15 17:24:35,440 [DEBUG]  		Latency: 9.66ms
2020-11-15 17:24:35,440 [DEBUG]  		True: 9
2020-11-15 17:24:35,440 [DEBUG]  		Predicted: 6.539068922871933
2020-11-15 17:24:35,440 [DEBUG]  Q-Error was: 1.376342734134577
2020-11-15 17:24:35,440 [DEBUG]  Predicting cardinality for query 2: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=112 AND mc.company_type_id=2 AND t.production_year>2010;
2020-11-15 17:24:35,455 [DEBUG]  		Latency: 10.20ms
2020-11-15 17:24:35,455 [DEBUG]  		True: 47
2020-11-15 17:24:35,455 [DEBUG]  		Predicted: 130.81202431474986
2020-11-15 17:24:35,455 [DEBUG]  Q-Error was: 2.783234559888295
2020-11-15 17:24:35,455 [DEBUG]  Predicting cardinality for query 3: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=113 AND mc.company_type_id=2 AND t.production_year>2000;
2020-11-15 17:24:35,470 [DEBUG]  		Latency: 10.03ms
2020-11-15 17:24:35,470 [DEBUG]  		True: 16
2020-11-15 17:24:35,470 [DEBUG]  		Predicted: 17.465478877451062
2020-11-15 17:24:35,470 [DEBUG]  Q-Error was: 1.0915924298406914
2020-11-15 17:24:35,470 [DEBUG]  Predicting cardinality for query 4: SELECT COUNT(*) FROM movie_companies mc,title t,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mk.keyword_id=117;
2020-11-15 17:24:35,480 [DEBUG]  		Latency: 6.26ms
2020-11-15 17:24:35,480 [DEBUG]  		True: 148552
2020-11-15 17:24:35,480 [DEBUG]  		Predicted: 40926.50600868898
2020-11-15 17:24:35,481 [DEBUG]  Q-Error was: 3.6297259279465828
2020-11-15 17:24:35,481 [DEBUG]  Predicting cardinality for query 5: SELECT COUNT(*) FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.production_year>2005;
2020-11-15 17:24:35,488 [DEBUG]  		Latency: 3.18ms
2020-11-15 17:24:35,488 [DEBUG]  		True: 62682311
2020-11-15 17:24:35,488 [DEBUG]  		Predicted: 62184420.99763888
2020-11-15 17:24:35,488 [DEBUG]  Q-Error was: 1.008006667817652
2020-11-15 17:24:35,488 [DEBUG]  Predicting cardinality for query 6: SELECT COUNT(*) FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.production_year>2010;
2020-11-15 17:24:35,494 [DEBUG]  		Latency: 2.52ms
2020-11-15 17:24:35,494 [DEBUG]  		True: 11990578
2020-11-15 17:24:35,495 [DEBUG]  		Predicted: 15696926.905328011
2020-11-15 17:24:35,495 [DEBUG]  Q-Error was: 1.3091051078044786
2020-11-15 17:24:35,495 [DEBUG]  Predicting cardinality for query 7: SELECT COUNT(*) FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.production_year>1990;
2020-11-15 17:24:35,501 [DEBUG]  		Latency: 2.54ms
2020-11-15 17:24:35,501 [DEBUG]  		True: 157041640
2020-11-15 17:24:35,501 [DEBUG]  		Predicted: 158044809.63374412
2020-11-15 17:24:35,501 [DEBUG]  Q-Error was: 1.0063879212783573
2020-11-15 17:24:35,501 [DEBUG]  Predicting cardinality for query 8: SELECT COUNT(*) FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.production_year>2005 AND mi_idx.info_type_id=101;
2020-11-15 17:24:35,512 [DEBUG]  		Latency: 6.28ms
2020-11-15 17:24:35,512 [DEBUG]  		True: 850677
2020-11-15 17:24:35,512 [DEBUG]  		Predicted: 333575.72292903496
2020-11-15 17:24:35,512 [DEBUG]  Q-Error was: 2.5501765911812875
2020-11-15 17:24:35,512 [DEBUG]  Predicting cardinality for query 9: SELECT COUNT(*) FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.production_year>2010 AND mi_idx.info_type_id=101;
2020-11-15 17:24:35,522 [DEBUG]  		Latency: 6.21ms
2020-11-15 17:24:35,522 [DEBUG]  		True: 179616
2020-11-15 17:24:35,522 [DEBUG]  		Predicted: 104369.09577226732
2020-11-15 17:24:35,522 [DEBUG]  Q-Error was: 1.7209692071292917
