2020-12-13 21:01:45,086 [INFO ]  maqp(evaluate_cardinalities: database_name=imdb, target_path=../ssb-benchmark/results)
2020-12-13 21:01:45,263 [DEBUG]  Including SPN with table_set {'title'} with sampling ratio(2528312 / 2528312.0)
2020-12-13 21:01:45,263 [DEBUG]  Including SPN with table_set {'movie_info_idx'} with sampling ratio(1380035 / 1380035.0)
2020-12-13 21:01:45,263 [DEBUG]  Including SPN with table_set {'movie_info'} with sampling ratio(10000000 / 14835720.0)
2020-12-13 21:01:45,263 [DEBUG]  Including SPN with table_set {'cast_info'} with sampling ratio(10000000 / 36244344.0)
2020-12-13 21:01:45,263 [DEBUG]  Including SPN with table_set {'movie_keyword'} with sampling ratio(4523930 / 4523930.0)
2020-12-13 21:01:45,263 [DEBUG]  Including SPN with table_set {'movie_companies'} with sampling ratio(2609129 / 2609129.0)
2020-12-13 21:01:45,264 [DEBUG]  Predicting cardinality for query 0: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year>=1983.0;
2020-12-13 21:01:45,274 [DEBUG]  		Latency: 3.08ms
2020-12-13 21:01:45,274 [DEBUG]  		True: 11637
2020-12-13 21:01:45,274 [DEBUG]  		Predicted: 2398810.961630414
2020-12-13 21:01:45,274 [DEBUG]  Q-Error was: 206.1365439228679
2020-12-13 21:01:45,274 [DEBUG]  Predicting cardinality for query 1: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.season_nr<1.0;
