err,est_card,true_card,query_dur_ms
6.0,30,5,1322129.9645900726
1.0256983240223463,895,918,1310931.0562610626
1.2202580028666985,2093,2554,454585.91389656067
1.0,0,1,1316484.8556518555
10.96551724137931,636,58,503935.91952323914
6.222222222222222,336,54,1315277.791261673
9.418181818181818,518,55,465531.6185951233
5.416666666666667,65,12,1319696.982383728
14.777777777777779,133,9,1319235.646724701
3.6724137931034484,426,116,511669.87228393555
5.829268292682927,239,41,1332510.1354122162
24.0,24,1,1318203.119277954
26.0,26,1,1313864.8104667664
4.55,91,20,432329.6627998352
5.5,22,4,372848.0632305145
1.0,1,1,338221.13132476807
3.875,186,48,1312829.2872905731
1.0631067961165048,219,206,1307857.9061031342
18.5,37,2,515258.7239742279
7.75,31,4,1314407.5467586517
11.666666666666666,35,3,1300995.311498642
11.88,297,25,505484.99155044556
1.0472524668254508,23512,24623,384089.14518356323
9.052631578947368,172,19,1318241.946220398
1.0299145299145298,234,241,1318500.3271102905
4.875,39,8,423970.10684013367
15.0,120,8,382123.95215034485
1.4705882352941178,34,50,1334993.3404922485
1.1215572582315179,9658,10832,1335850.6529331207
21.88888888888889,394,18,447669.37470436096
1.2518628912071534,671,840,377753.2470226288
1.0732379803549887,6228,5803,1280852.4887561798
3.2432432432432434,120,37,514352.9922962189
3.0,18,6,1315493.1108951569
1.0356880058866813,2718,2815,1300869.680404663
20.545454545454547,226,11,496695.0545310974
1.0351246537396122,9025,9342,379464.0772342682
6.0,6,1,294145.3287601471
8.571428571428571,60,7,1313684.0958595276
4.5,63,14,1327362.6217842102
1.2748344370860927,302,385,1311735.243320465
11.0,11,1,1309581.5827846527
1.1111111111111112,36,40,499030.2577018738
1.0,3,3,367775.673866272
9.0,99,11,294108.0889701843
5.777777777777778,312,54,274124.2666244507
5.714285714285714,40,7,1321081.6509723663
15.11111111111111,136,9,499586.39335632324
1.0389841757781115,28627,29743,376988.3954524994
1.0335710041592394,3366,3479,1304359.8396778107
12.333333333333334,185,15,507980.19313812256
10.274193548387096,637,62,377412.8758907318
9.88888888888889,267,27,1326633.6648464203
15.0,345,23,440178.2636642456
1.053119052653838,47290,49802,387249.0622997284
28.681818181818183,631,22,1329467.8106307983
10.0,40,4,1333347.011089325
13.571428571428571,95,7,436073.3411312103
1.375,8,11,1289431.7770004272
3.6666666666666665,22,6,511252.39539146423
